"lsoa11cd","lad19cd","income_score","income_rank","income_decile"
"E01031338","E07000223",0.054,25262,8
"E01031339","E07000223",0.052,25709,8
"E01031340","E07000223",0.027,31386,10
"E01031341","E07000223",0.237,4645,2
"E01031342","E07000223",0.083,19015,6
"E01031343","E07000223",0.072,21033,7
"E01031344","E07000223",0.122,13427,5
"E01031345","E07000223",0.071,21288,7
"E01031346","E07000223",0.085,18716,6
"E01031347","E07000223",0.185,7664,3
"E01031348","E07000223",0.21,6080,2
"E01031349","E07000223",0.073,20824,7
"E01031350","E07000223",0.164,9324,3
"E01031351","E07000223",0.065,22492,7
"E01031352","E07000223",0.106,15526,5
"E01031353","E07000223",0.02,32206,10
"E01031354","E07000223",0.06,23624,8
"E01031355","E07000223",0.121,13546,5
"E01031356","E07000223",0.054,25240,8
"E01031357","E07000223",0.067,22192,7
"E01031358","E07000223",0.208,6195,2
"E01031359","E07000223",0.096,16879,6
"E01031360","E07000223",0.157,9895,4
"E01031361","E07000223",0.185,7646,3
"E01031362","E07000223",0.071,21385,7
"E01031363","E07000223",0.086,18460,6
"E01031364","E07000223",0.151,10414,4
"E01031365","E07000223",0.101,16135,5
"E01031366","E07000223",0.178,8205,3
"E01031367","E07000223",0.027,31377,10
"E01031368","E07000223",0.081,19355,6
"E01031369","E07000223",0.061,23458,8
"E01031370","E07000223",0.123,13290,5
"E01031371","E07000223",0.202,6535,2
"E01031372","E07000223",0.18,8039,3
"E01031373","E07000223",0.136,11916,4
"E01031374","E07000223",0.076,20229,7
"E01031375","E07000223",0.097,16731,6
"E01031376","E07000223",0.09,17942,6
"E01031377","E07000223",0.138,11681,4
"E01031378","E07000223",0.099,16450,6
"E01031379","E07000223",0.067,22056,7
"E01019078","E07000026",0.03,30796,10
"E01019079","E07000026",0.057,24555,8
"E01019080","E07000026",0.159,9726,3
"E01019081","E07000026",0.192,7192,3
"E01019082","E07000026",0.085,18733,6
"E01019083","E07000026",0.049,26452,9
"E01019084","E07000026",0.1,16254,5
"E01019085","E07000026",0.033,30239,10
"E01019086","E07000026",0.024,31810,10
"E01019087","E07000026",0.028,31205,10
"E01019088","E07000026",0.122,13502,5
"E01019089","E07000026",0.156,9965,4
"E01019090","E07000026",0.039,28772,9
"E01019091","E07000026",0.037,29419,9
"E01019092","E07000026",0.03,30741,10
"E01019093","E07000026",0.062,23167,8
"E01019094","E07000026",0.104,15701,5
"E01019095","E07000026",0.286,2695,1
"E01019096","E07000026",0.104,15736,5
"E01019097","E07000026",0.387,524,1
"E01019098","E07000026",0.13,12480,4
"E01019099","E07000026",0.163,9396,3
"E01019100","E07000026",0.087,18390,6
"E01019101","E07000026",0.031,30674,10
"E01019102","E07000026",0.128,12783,4
"E01019103","E07000026",0.075,20420,7
"E01019104","E07000026",0.096,16899,6
"E01019105","E07000026",0.05,26083,8
"E01019106","E07000026",0.021,32075,10
"E01019107","E07000026",0.064,22844,7
"E01019108","E07000026",0.195,6987,3
"E01019109","E07000026",0.221,5449,2
"E01019110","E07000026",0.277,2962,1
"E01019111","E07000026",0.23,4983,2
"E01019112","E07000026",0.276,2994,1
"E01019113","E07000026",0.365,784,1
"E01019114","E07000026",0.132,12311,4
"E01019115","E07000026",0.194,7047,3
"E01019116","E07000026",0.176,8362,3
"E01019117","E07000026",0.052,25797,8
"E01019118","E07000026",0.094,17288,6
"E01019119","E07000026",0.041,28474,9
"E01019120","E07000026",0.133,12241,4
"E01019121","E07000026",0.242,4380,2
"E01019122","E07000026",0.287,2641,1
"E01019123","E07000026",0.13,12471,4
"E01019124","E07000026",0.03,30826,10
"E01019125","E07000026",0.057,24551,8
"E01019126","E07000026",0.182,7914,3
"E01019127","E07000026",0.087,18349,6
"E01019128","E07000026",0.08,19576,6
"E01019129","E07000026",0.04,28549,9
"E01019130","E07000026",0.053,25518,8
"E01019131","E07000026",0.045,27416,9
