"lsoa11cd","lad19cd","income_score","income_rank","income_decile"
"E01019132","E07000026",0.076,20206,7
"E01019133","E07000026",0.063,23088,8
"E01019134","E07000026",0.07,21505,7
"E01019135","E07000026",0.17,8819,3
"E01019136","E07000026",0.087,18370,6
"E01019137","E07000026",0.145,10947,4
"E01019400","E07000032",0.19,7315,3
"E01019401","E07000032",0.185,7645,3
"E01019402","E07000032",0.116,14145,5
"E01019403","E07000032",0.22,5511,2
"E01019404","E07000032",0.153,10227,4
"E01019405","E07000032",0.035,29685,10
"E01019406","E07000032",0.057,24560,8
"E01019407","E07000032",0.097,16777,6
"E01019408","E07000032",0.081,19308,6
"E01019409","E07000032",0.054,25258,8
"E01019410","E07000032",0.044,27520,9
"E01019411","E07000032",0.077,20118,7
"E01019412","E07000032",0.033,30115,10
"E01019413","E07000032",0.032,30321,10
"E01019414","E07000032",0.054,25298,8
"E01019415","E07000032",0.073,20938,7
"E01019416","E07000032",0.044,27658,9
"E01019417","E07000032",0.154,10084,4
"E01019418","E07000032",0.103,15866,5
"E01019419","E07000032",0.058,24099,8
"E01019420","E07000032",0.165,9189,3
"E01019421","E07000032",0.117,14112,5
"E01019422","E07000032",0.064,22913,7
"E01019423","E07000032",0.046,27155,9
"E01019424","E07000032",0.107,15277,5
"E01019425","E07000032",0.027,31391,10
"E01019426","E07000032",0.06,23832,8
"E01019427","E07000032",0.033,30131,10
"E01019428","E07000032",0.116,14204,5
"E01019429","E07000032",0.051,26028,8
"E01019430","E07000032",0.043,27779,9
"E01019431","E07000032",0.136,11903,4
"E01019432","E07000032",0.132,12313,4
"E01019433","E07000032",0.114,14414,5
"E01019434","E07000032",0.104,15738,5
"E01019435","E07000032",0.098,16651,6
"E01019436","E07000032",0.103,15855,5
"E01019437","E07000032",0.184,7713,3
"E01019438","E07000032",0.136,11897,4
"E01019439","E07000032",0.102,15981,5
"E01019440","E07000032",0.129,12665,4
"E01019441","E07000032",0.244,4299,2
"E01019442","E07000032",0.111,14803,5
"E01019443","E07000032",0.068,22029,7
"E01019444","E07000032",0.354,959,1
"E01019445","E07000032",0.095,17038,6
"E01019446","E07000032",0.047,26866,9
"E01019447","E07000032",0.05,26134,8
"E01019448","E07000032",0.068,21838,7
"E01019449","E07000032",0.049,26407,9
"E01019450","E07000032",0.189,7379,3
"E01019451","E07000032",0.102,15980,5
"E01019452","E07000032",0.275,3042,1
"E01019453","E07000032",0.244,4296,2
"E01019454","E07000032",0.067,22224,7
"E01019455","E07000032",0.107,15312,5
"E01019456","E07000032",0.099,16448,6
"E01019457","E07000032",0.078,20015,7
"E01019458","E07000032",0.147,10728,4
"E01019459","E07000032",0.214,5853,2
"E01019460","E07000032",0.066,22293,7
"E01019461","E07000032",0.121,13577,5
"E01019462","E07000032",0.039,28841,9
"E01019463","E07000032",0.269,3248,1
"E01019464","E07000032",0.041,28326,9
"E01019465","E07000032",0.11,14930,5
"E01019467","E07000032",0.049,26359,9
"E01019468","E07000032",0.166,9132,3
"E01019469","E07000032",0.229,5013,2
"E01019470","E07000032",0.148,10626,4
"E01019471","E07000032",0.241,4467,2
"E01019472","E07000032",0.048,26582,9
"E01019473","E07000032",0.025,31579,10
"E01019474","E07000032",0.048,26610,9
"E01019475","E07000032",0.131,12435,4
"E01019476","E07000032",0.04,28607,9
"E01019477","E07000032",0.084,18828,6
"E01032613","E07000032",0.128,12708,4
"E01031380","E07000224",0.028,31232,10
"E01031381","E07000224",0.055,24984,8
"E01031382","E07000224",0.07,21590,7
"E01031383","E07000224",0.039,28887,9
"E01031384","E07000224",0.058,24152,8
"E01031385","E07000224",0.143,11172,4
"E01031386","E07000224",0.113,14616,5
"E01031387","E07000224",0.091,17703,6
"E01031388","E07000224",0.066,22362,7
"E01031389","E07000224",0.026,31464,10
"E01031390","E07000224",0.094,17282,6
"E01031391","E07000224",0.051,25803,8
"E01031392","E07000224",0.05,26129,8
"E01031393","E07000224",0.064,22837,7
"E01031394","E07000224",0.119,13761,5
"E01031395","E07000224",0.052,25793,8
"E01031396","E07000224",0.085,18761,6
"E01031397","E07000224",0.048,26735,9
"E01031398","E07000224",0.06,23833,8
"E01031399","E07000224",0.062,23247,8
"E01031400","E07000224",0.146,10845,4
"E01031401","E07000224",0.117,14021,5
"E01031402","E07000224",0.076,20344,7
"E01031403","E07000224",0.114,14464,5
"E01031404","E07000224",0.253,3905,2
"E01031405","E07000224",0.089,18039,6
"E01031406","E07000224",0.086,18463,6
"E01031407","E07000224",0.081,19364,6
"E01031408","E07000224",0.071,21319,7
"E01031409","E07000224",0.166,9145,3
"E01031410","E07000224",0.101,16165,5
"E01031411","E07000224",0.074,20723,7
"E01031412","E07000224",0.033,30268,10
"E01031413","E07000224",0.057,24462,8
"E01031414","E07000224",0.085,18635,6
"E01031415","E07000224",0.134,12081,4
"E01031416","E07000224",0.049,26387,9
"E01031417","E07000224",0.076,20342,7
"E01031418","E07000224",0.072,21054,7
"E01031419","E07000224",0.081,19323,6
"E01031420","E07000224",0.078,20011,7
"E01031421","E07000224",0.113,14541,5
"E01031422","E07000224",0.048,26587,9
"E01031423","E07000224",0.078,19830,7
"E01031424","E07000224",0.048,26551,9
"E01031425","E07000224",0.038,28982,9
"E01031426","E07000224",0.098,16558,6
"E01031427","E07000224",0.268,3307,2
"E01031428","E07000224",0.124,13266,5
"E01031429","E07000224",0.313,1854,1
"E01031430","E07000224",0.144,11100,4
"E01031431","E07000224",0.085,18749,6
"E01031432","E07000224",0.144,11037,4
"E01031433","E07000224",0.143,11128,4
"E01031434","E07000224",0.142,11229,4
"E01031435","E07000224",0.117,14027,5
"E01031436","E07000224",0.228,5101,2
"E01031437","E07000224",0.15,10486,4
"E01031438","E07000224",0.093,17479,6
"E01031439","E07000224",0.078,19847,7
"E01031440","E07000224",0.08,19608,6
"E01031441","E07000224",0.163,9380,3
"E01031442","E07000224",0.104,15722,5
"E01031443","E07000224",0.143,11210,4
"E01031444","E07000224",0.142,11302,4
"E01031445","E07000224",0.096,16993,6
"E01031446","E07000224",0.077,20167,7
"E01031447","E07000224",0.076,20252,7
"E01031448","E07000224",0.077,20168,7
"E01031449","E07000224",0.102,15989,5
"E01031450","E07000224",0.167,9060,3
"E01031451","E07000224",0.218,5662,2
"E01031452","E07000224",0.083,19023,6
"E01031453","E07000224",0.173,8585,3
"E01031454","E07000224",0.216,5749,2
"E01031455","E07000224",0.151,10380,4
"E01031456","E07000224",0.208,6180,2
"E01031457","E07000224",0.097,16791,6
"E01031458","E07000224",0.031,30626,10
"E01031459","E07000224",0.179,8068,3
"E01031460","E07000224",0.074,20661,7
"E01031461","E07000224",0.052,25747,8
"E01031462","E07000224",0.087,18400,6
"E01031463","E07000224",0.046,27130,9
"E01031464","E07000224",0.105,15614,5
"E01031465","E07000224",0.062,23252,8
"E01031466","E07000224",0.08,19602,6
"E01031467","E07000224",0.111,14825,5
"E01031468","E07000224",0.079,19794,7
"E01031469","E07000224",0.119,13865,5
"E01031470","E07000224",0.081,19390,6
"E01031471","E07000224",0.09,17878,6
"E01031472","E07000224",0.116,14203,5
"E01031473","E07000224",0.202,6573,3
"E01027925","E07000170",0.09,17949,6
"E01027926","E07000170",0.093,17425,6
"E01027927","E07000170",0.175,8390,3
"E01027928","E07000170",0.136,11843,4
"E01027929","E07000170",0.125,13057,4
"E01027930","E07000170",0.277,2964,1
"E01027931","E07000170",0.164,9264,3
"E01027932","E07000170",0.128,12806,4
"E01027933","E07000170",0.144,11054,4
"E01027934","E07000170",0.05,26082,8
"E01027935","E07000170",0.139,11547,4
"E01027936","E07000170",0.044,27511,9
"E01027937","E07000170",0.245,4283,2
"E01027938","E07000170",0.037,29361,9
"E01027939","E07000170",0.275,3037,1
"E01027940","E07000170",0.052,25724,8
"E01027941","E07000170",0.139,11625,4
"E01027942","E07000170",0.224,5277,2
"E01027943","E07000170",0.114,14363,5
"E01027944","E07000170",0.051,25846,8
"E01027945","E07000170",0.13,12503,4
"E01027946","E07000170",0.106,15512,5
"E01027947","E07000170",0.106,15474,5
"E01027948","E07000170",0.106,15484,5
"E01027949","E07000170",0.109,15030,5
"E01027950","E07000170",0.118,14008,5
"E01027951","E07000170",0.337,1266,1
"E01027952","E07000170",0.27,3213,1
"E01027953","E07000170",0.122,13490,5
"E01027954","E07000170",0.197,6865,3
"E01027955","E07000170",0.233,4855,2
"E01027956","E07000170",0.292,2458,1
"E01027957","E07000170",0.16,9633,3
"E01027958","E07000170",0.255,3815,2
"E01027959","E07000170",0.038,29091,9
"E01027960","E07000170",0.159,9679,3
"E01027961","E07000170",0.066,22364,7
"E01027962","E07000170",0.102,16036,5
"E01027963","E07000170",0.159,9708,3
"E01027964","E07000170",0.197,6847,3
"E01027965","E07000170",0.294,2399,1
"E01027966","E07000170",0.268,3275,1
"E01027967","E07000170",0.197,6841,3
"E01027968","E07000170",0.296,2346,1
"E01027969","E07000170",0.174,8506,3
"E01027970","E07000170",0.099,16432,6
"E01027971","E07000170",0.074,20755,7
"E01027972","E07000170",0.117,14106,5
"E01027973","E07000170",0.042,28231,9
"E01027974","E07000170",0.39,493,1
"E01027975","E07000170",0.152,10345,4
"E01027976","E07000170",0.248,4159,2
"E01027977","E07000170",0.181,7996,3
"E01027978","E07000170",0.295,2360,1
"E01027979","E07000170",0.088,18176,6
"E01027980","E07000170",0.266,3373,2
"E01027981","E07000170",0.106,15543,5
"E01027982","E07000170",0.14,11510,4
"E01027983","E07000170",0.22,5517,2
"E01027984","E07000170",0.086,18546,6
"E01027985","E07000170",0.153,10228,4
"E01027986","E07000170",0.211,6048,2
"E01027987","E07000170",0.191,7236,3
"E01027988","E07000170",0.088,18187,6
"E01027989","E07000170",0.103,15964,5
"E01027990","E07000170",0.074,20651,7
"E01027991","E07000170",0.152,10296,4
"E01027992","E07000170",0.03,30886,10
"E01027993","E07000170",0.058,24169,8
"E01027994","E07000170",0.096,16918,6
"E01027995","E07000170",0.068,21979,7
"E01027996","E07000170",0.169,8866,3
"E01027997","E07000170",0.07,21574,7
"E01027998","E07000170",0.124,13172,5
"E01023972","E07000105",0.176,8318,3
"E01023973","E07000105",0.223,5330,2
"E01023974","E07000105",0.214,5834,2
"E01023975","E07000105",0.244,4300,2
"E01023976","E07000105",0.22,5534,2
"E01023977","E07000105",0.088,18156,6
"E01023978","E07000105",0.069,21802,7
"E01023979","E07000105",0.086,18604,6
"E01023980","E07000105",0.12,13704,5
"E01023981","E07000105",0.17,8782,3
"E01023983","E07000105",0.056,24813,8
"E01023984","E07000105",0.249,4061,2
"E01023985","E07000105",0.084,18840,6
"E01023986","E07000105",0.158,9804,3
"E01023987","E07000105",0.093,17428,6
"E01023988","E07000105",0.076,20263,7
"E01023989","E07000105",0.045,27391,9
"E01023990","E07000105",0.147,10782,4
"E01023992","E07000105",0.132,12320,4
"E01023993","E07000105",0.066,22295,7
"E01023995","E07000105",0.041,28297,9
"E01023996","E07000105",0.033,30129,10
"E01023997","E07000105",0.111,14773,5
"E01023998","E07000105",0.102,16045,5
"E01023999","E07000105",0.057,24421,8
"E01024001","E07000105",0.196,6913,3
"E01024002","E07000105",0.13,12530,4
"E01024003","E07000105",0.074,20610,7
"E01024004","E07000105",0.041,28429,9
"E01024005","E07000105",0.124,13184,5
"E01024006","E07000105",0.068,21817,7
"E01024008","E07000105",0.035,29745,10
"E01024009","E07000105",0.066,22277,7
"E01024010","E07000105",0.102,16074,5
"E01024011","E07000105",0.068,21973,7
"E01024012","E07000105",0.062,23198,8
"E01024013","E07000105",0.09,17853,6
"E01024014","E07000105",0.068,21981,7
"E01024015","E07000105",0.038,29176,9
"E01024016","E07000105",0.085,18682,6
"E01024017","E07000105",0.08,19533,6
"E01024019","E07000105",0.274,3088,1
"E01024020","E07000105",0.319,1696,1
"E01024021","E07000105",0.133,12249,4
"E01024022","E07000105",0.103,15881,5
"E01024023","E07000105",0.115,14340,5
"E01024024","E07000105",0.082,19271,6
"E01024025","E07000105",0.126,13019,4
"E01024026","E07000105",0.082,19122,6
"E01024027","E07000105",0.143,11146,4
"E01024028","E07000105",0.285,2723,1
"E01024029","E07000105",0.132,12344,4
"E01024031","E07000105",0.097,16784,6
"E01024032","E07000105",0.1,16301,5
"E01024033","E07000105",0.085,18641,6
"E01024034","E07000105",0.076,20314,7
"E01024035","E07000105",0.056,24579,8
"E01024036","E07000105",0.062,23201,8
"E01024037","E07000105",0.071,21292,7
"E01024038","E07000105",0.092,17599,6
"E01024039","E07000105",0.088,18152,6
"E01024040","E07000105",0.128,12795,4
"E01024041","E07000105",0.028,31178,10
"E01032810","E07000105",0.226,5175,2
"E01032811","E07000105",0.097,16809,6
"E01032812","E07000105",0.034,29981,10
"E01032813","E07000105",0.073,20816,7
"E01032814","E07000105",0.095,17176,6
"E01032815","E07000105",0.191,7258,3
"E01032816","E07000105",0.053,25397,8
"E01032817","E07000105",0.105,15594,5
"E01032818","E07000105",0.059,23923,8
"E01032819","E07000105",0.08,19516,6
"E01032820","E07000105",0.087,18371,6
"E01032821","E07000105",0.063,22985,7
"E01032822","E07000105",0.094,17313,6
"E01032823","E07000105",0.114,14453,5
"E01032824","E07000105",0.09,17975,6
"E01017627","E07000004",0.066,22330,7
"E01017628","E07000004",0.071,21208,7
"E01017629","E07000004",0.014,32639,10
"E01017630","E07000004",0.041,28305,9
"E01017631","E07000004",0.031,30571,10
"E01017632","E07000004",0.02,32219,10
"E01017634","E07000004",0.088,18161,6
"E01017635","E07000004",0.047,26966,9
"E01017636","E07000004",0.029,31021,10
"E01017637","E07000004",0.048,26756,9
"E01017638","E07000004",0.02,32185,10
"E01017639","E07000004",0.021,32165,10
"E01017640","E07000004",0.045,27274,9
"E01017641","E07000004",0.026,31541,10
"E01017642","E07000004",0.042,28068,9
"E01017643","E07000004",0.047,27012,9
"E01017644","E07000004",0.047,26956,9
"E01017645","E07000004",0.129,12624,4
"E01017646","E07000004",0.105,15647,5
"E01017647","E07000004",0.015,32587,10
"E01017648","E07000004",0.021,32084,10
"E01017649","E07000004",0.065,22674,7
"E01017650","E07000004",0.063,23089,8
"E01017651","E07000004",0.026,31432,10
"E01017652","E07000004",0.078,19952,7
"E01017653","E07000004",0.061,23562,8
"E01017654","E07000004",0.15,10522,4
"E01017655","E07000004",0.049,26506,9
"E01017657","E07000004",0.032,30371,10
"E01017658","E07000004",0.05,26237,8
"E01017659","E07000004",0.136,11851,4
"E01017660","E07000004",0.041,28268,9
"E01017661","E07000004",0.142,11282,4
"E01017662","E07000004",0.12,13679,5
"E01017663","E07000004",0.171,8708,3
"E01017664","E07000004",0.032,30370,10
"E01017665","E07000004",0.181,7980,3
"E01017666","E07000004",0.122,13492,5
"E01017667","E07000004",0.115,14292,5
"E01017668","E07000004",0.073,20960,7
"E01017669","E07000004",0.067,22093,7
"E01017670","E07000004",0.049,26388,9
"E01017671","E07000004",0.035,29699,10
"E01017672","E07000004",0.05,26206,8
"E01017673","E07000004",0.045,27390,9
"E01017674","E07000004",0.045,27463,9
"E01017675","E07000004",0.025,31613,10
"E01017676","E07000004",0.024,31746,10
"E01017677","E07000004",0.036,29653,10
"E01017678","E07000004",0.025,31593,10
"E01017679","E07000004",0.04,28669,9
"E01017680","E07000004",0.097,16783,6
"E01017681","E07000004",0.061,23503,8
"E01017682","E07000004",0.016,32533,10
"E01017683","E07000004",0.033,30229,10
"E01017684","E07000004",0.035,29790,10
"E01017687","E07000004",0.1,16277,5
"E01017688","E07000004",0.056,24694,8
"E01017689","E07000004",0.037,29404,9
"E01017690","E07000004",0.053,25353,8
"E01017691","E07000004",0.021,32111,10
"E01017692","E07000004",0.042,28109,9
"E01017693","E07000004",0.032,30483,10
"E01017694","E07000004",0.038,29011,9
"E01017695","E07000004",0.064,22760,7
"E01017696","E07000004",0.035,29793,10
"E01017697","E07000004",0.04,28517,9
"E01017698","E07000004",0.088,18191,6
"E01017699","E07000004",0.114,14392,5
"E01017700","E07000004",0.028,31109,10
"E01017701","E07000004",0.046,27258,9
"E01017702","E07000004",0.084,18938,6
"E01017703","E07000004",0.04,28584,9
"E01017704","E07000004",0.031,30606,10
"E01017705","E07000004",0.115,14277,5
"E01017706","E07000004",0.113,14542,5
"E01017707","E07000004",0.21,6077,2
"E01017708","E07000004",0.165,9202,3
"E01017709","E07000004",0.173,8556,3
"E01017710","E07000004",0.11,14979,5
"E01017711","E07000004",0.179,8091,3
"E01017712","E07000004",0.151,10454,4
"E01017713","E07000004",0.074,20745,7
"E01017714","E07000004",0.037,29313,9
"E01017715","E07000004",0.045,27407,9
"E01017716","E07000004",0.039,28769,9
"E01017717","E07000004",0.071,21340,7
"E01017718","E07000004",0.066,22441,7
"E01017719","E07000004",0.071,21346,7
"E01017720","E07000004",0.039,28927,9
"E01017721","E07000004",0.08,19492,6
"E01017722","E07000004",0.047,26983,9
"E01017723","E07000004",0.167,9032,3
"E01017724","E07000004",0.134,12103,4
"E01017726","E07000004",0.056,24793,8
"E01017727","E07000004",0.02,32271,10
"E01017728","E07000004",0.043,27782,9
"E01017729","E07000004",0.031,30635,10
"E01017730","E07000004",0.099,16397,5
"E01017731","E07000004",0.08,19538,6
"E01017732","E07000004",0.033,30204,10
"E01017733","E07000004",0.053,25519,8
"E01017734","E07000004",0.028,31151,10
"E01017735","E07000004",0.036,29448,9
"E01017736","E07000004",0.107,15276,5
"E01017737","E07000004",0.024,31691,10
"E01017738","E07000004",0.075,20380,7
"E01032955","E07000004",0.093,17410,6
"E01032956","E07000004",0.024,31787,10
"E01032957","E07000004",0.04,28506,9
"E01032958","E07000004",0.033,30178,10
"E01032959","E07000004",0.105,15615,5
"E01032960","E07000004",0.038,29106,9
"E01032961","E07000004",0.104,15723,5
"E01032962","E07000004",0.027,31306,10
"E01029870","E07000200",0.09,17865,6
"E01029871","E07000200",0.055,24959,8
"E01029872","E07000200",0.04,28495,9
"E01029873","E07000200",0.079,19820,7
"E01029874","E07000200",0.063,22928,7
"E01029875","E07000200",0.057,24363,8
"E01029876","E07000200",0.086,18588,6
"E01029877","E07000200",0.052,25774,8
"E01029878","E07000200",0.041,28258,9
"E01029879","E07000200",0.069,21799,7
"E01029880","E07000200",0.081,19400,6
"E01029881","E07000200",0.057,24487,8
"E01029882","E07000200",0.071,21338,7
"E01029883","E07000200",0.047,26834,9
"E01029884","E07000200",0.131,12454,4
"E01029885","E07000200",0.062,23296,8
"E01029886","E07000200",0.171,8689,3
"E01029887","E07000200",0.069,21657,7
"E01029888","E07000200",0.118,14010,5
"E01029889","E07000200",0.183,7795,3
"E01029890","E07000200",0.04,28627,9
"E01029891","E07000200",0.072,21056,7
"E01029892","E07000200",0.145,10914,4
"E01029893","E07000200",0.06,23736,8
"E01029894","E07000200",0.04,28576,9
"E01029895","E07000200",0.033,30197,10
"E01029896","E07000200",0.11,14927,5
"E01029897","E07000200",0.051,25973,8
"E01029898","E07000200",0.096,16960,6
"E01029899","E07000200",0.038,29120,9
"E01029900","E07000200",0.124,13235,5
"E01029901","E07000200",0.051,25912,8
"E01029902","E07000200",0.059,23913,8
"E01029903","E07000200",0.034,30109,10
"E01029904","E07000200",0.037,29442,9
"E01029905","E07000200",0.047,26891,9
"E01029906","E07000200",0.069,21653,7
"E01029907","E07000200",0.07,21476,7
"E01029908","E07000200",0.02,32243,10
"E01029909","E07000200",0.056,24665,8
"E01029910","E07000200",0.183,7832,3
"E01029911","E07000200",0.058,24091,8
"E01029912","E07000200",0.159,9701,3
"E01029913","E07000200",0.063,23091,8
"E01029914","E07000200",0.16,9617,3
"E01029915","E07000200",0.093,17354,6
"E01029916","E07000200",0.189,7353,3
"E01029917","E07000200",0.071,21213,7
"E01029918","E07000200",0.122,13504,5
"E01029919","E07000200",0.089,17997,6
"E01029920","E07000200",0.143,11136,4
"E01029921","E07000200",0.051,25876,8
"E01029922","E07000200",0.12,13724,5
"E01029923","E07000200",0.055,24977,8
"E01000006","E09000002",0.117,14023,5
"E01000007","E09000002",0.207,6261,2
"E01000008","E09000002",0.265,3382,2
"E01000009","E09000002",0.187,7506,3
"E01000010","E09000002",0.169,8902,3
"E01000011","E09000002",0.167,9033,3
"E01000012","E09000002",0.239,4570,2
"E01000013","E09000002",0.213,5966,2
"E01000014","E09000002",0.201,6627,3
"E01000015","E09000002",0.216,5755,2
"E01000016","E09000002",0.199,6711,3
"E01000017","E09000002",0.25,4033,2
"E01000018","E09000002",0.212,5998,2
"E01000019","E09000002",0.194,7049,3
"E01000020","E09000002",0.216,5760,2
"E01000021","E09000002",0.23,5007,2
"E01000022","E09000002",0.195,6941,3
"E01000023","E09000002",0.228,5088,2
"E01000024","E09000002",0.155,10056,4
"E01000025","E09000002",0.219,5570,2
"E01000027","E09000002",0.216,5730,2
"E01000028","E09000002",0.26,3610,2
"E01000029","E09000002",0.113,14506,5
"E01000030","E09000002",0.264,3448,2
"E01000031","E09000002",0.126,12951,4
"E01000032","E09000002",0.146,10854,4
"E01000033","E09000002",0.257,3732,2
"E01000034","E09000002",0.216,5759,2
"E01000035","E09000002",0.15,10489,4
"E01000036","E09000002",0.112,14690,5
"E01000037","E09000002",0.096,16924,6
"E01000038","E09000002",0.127,12877,4
"E01000039","E09000002",0.127,12861,4
"E01000040","E09000002",0.218,5648,2
"E01000041","E09000002",0.172,8647,3
"E01000042","E09000002",0.263,3492,2
"E01000043","E09000002",0.147,10803,4
"E01000044","E09000002",0.133,12202,4
"E01000045","E09000002",0.188,7494,3
"E01000046","E09000002",0.17,8795,3
"E01000048","E09000002",0.341,1195,1
"E01000049","E09000002",0.29,2525,1
"E01000050","E09000002",0.176,8360,3
"E01000051","E09000002",0.234,4785,2
"E01000052","E09000002",0.188,7440,3
"E01000053","E09000002",0.229,5037,2
"E01000054","E09000002",0.18,8012,3
"E01000055","E09000002",0.211,6032,2
"E01000056","E09000002",0.197,6839,3
"E01000057","E09000002",0.196,6909,3
"E01000058","E09000002",0.199,6736,3
"E01000059","E09000002",0.176,8297,3
"E01000060","E09000002",0.202,6512,2
"E01000061","E09000002",0.303,2125,1
"E01000062","E09000002",0.143,11124,4
"E01000063","E09000002",0.181,7943,3
"E01000064","E09000002",0.208,6220,2
"E01000065","E09000002",0.228,5065,2
"E01000066","E09000002",0.147,10725,4
"E01000067","E09000002",0.132,12329,4
"E01000068","E09000002",0.123,13349,5
"E01000069","E09000002",0.087,18292,6
"E01000070","E09000002",0.11,14981,5
"E01000071","E09000002",0.13,12518,4
"E01000072","E09000002",0.241,4451,2
"E01000073","E09000002",0.209,6133,2
"E01000074","E09000002",0.234,4794,2
"E01000075","E09000002",0.196,6873,3
"E01000076","E09000002",0.208,6177,2
"E01000077","E09000002",0.251,3973,2
"E01000078","E09000002",0.228,5086,2
"E01000079","E09000002",0.227,5141,2
"E01000080","E09000002",0.19,7274,3
"E01000081","E09000002",0.162,9449,3
"E01000082","E09000002",0.158,9753,3
"E01000083","E09000002",0.196,6904,3
"E01000084","E09000002",0.229,5030,2
"E01000085","E09000002",0.189,7390,3
"E01000086","E09000002",0.218,5632,2
"E01000087","E09000002",0.226,5212,2
"E01000088","E09000002",0.147,10790,4
"E01000089","E09000002",0.156,9981,4
"E01000090","E09000002",0.169,8855,3
"E01000091","E09000002",0.256,3775,2
"E01000092","E09000002",0.215,5804,2
"E01000093","E09000002",0.26,3596,2
"E01000094","E09000002",0.167,9003,3
"E01000095","E09000002",0.196,6925,3
"E01000096","E09000002",0.259,3651,2
"E01000097","E09000002",0.223,5351,2
"E01000098","E09000002",0.239,4575,2
"E01000099","E09000002",0.174,8476,3
"E01000100","E09000002",0.16,9665,3
"E01000101","E09000002",0.254,3849,2
"E01000102","E09000002",0.275,3043,1
"E01000103","E09000002",0.18,8028,3
"E01000104","E09000002",0.222,5419,2
"E01000105","E09000002",0.246,4221,2
"E01000106","E09000002",0.275,3032,1
"E01000107","E09000002",0.151,10392,4
"E01000108","E09000002",0.171,8694,3
"E01000109","E09000002",0.12,13637,5
