AREACD,AREANM,house,salary,publicsector,degree,age,nonukborn,health
E14000651,Coventry South,139950,523.4,14,26.8,46,22.7,82
E14000931,Solihull,202000,613.5,17.9,31.1,41,9.4,82
E14000883,Portsmouth North,160000,474.9,23.8,20.7,28,7.6,82
N06000009,Lagan Valley,null,478.3,null,28.1,39,5.6,82
E14000926,Shrewsbury and Atcham,167000,480,28.7,29.3,46,5.6,82
E14000935,South Derbyshire,147500,508.2,14.9,26,41,3.9,82
S14000028,Falkirk,null,493.8,39.6,21.2,40,3.5,82
E14000746,Hexham,214225,582.6,17.9,35.9,41,3.5,82
E14000646,Congleton,162000,499.6,14.2,31,46,3.3,82.1
E14000783,Leicester South,130000,431.3,22.9,24.8,31,33.8,82.2
E14000759,Ilford North,272250,614,23.4,30.1,45,30.8,82.2
E14000800,Luton North,163000,467.4,39.3,21.8,42,27.1,82.2
E14000634,Chingford and Woodford G,300000,707.6,17,29.4,45,19.8,82.2
E14000558,Bexleyheath and Crayford,220000,626,16.9,20.3,36,12,82.2
E14000648,Corby,149995,490.4,11.6,20.7,37,10.1,82.2
E14000898,Rochester and Strood,172000,583.4,20.3,20.5,42,9.3,82.2
E14000954,South West Wiltshire,175000,479.4,15.6,25.1,40,8.3,82.2
E14001037,Westmorland and Lonsdale,206000,475.8,14.8,33.3,41,5.2,82.2
S14000043,Linlithgow and East Falkirk,null,520.4,21.2,21.5,37,4.3,82.2
S14000014,"Dumfriesshire, Clydesdale and Tweeddale",null,500.8,29.4,24.8,40,3.8,82.2
E14001036,Westminster North,615000,711.6,14.2,47.3,39,53.6,82.3
E14000862,Northampton South,133500,490.6,22.6,22.8,32,19.3,82.3
E14000779,Leeds North East,187000,535.7,24.9,40.7,42,18.1,82.3
E14000626,Chatham and Aylesford,159000,517.5,14.6,18.1,42,9.6,82.3
E14000932,Somerton and Frome,190000,504.1,13.2,28.9,42,5.8,82.3
E14000971,Stockton South,142000,535.2,14,27.1,39,5.3,82.3
S14000005,Argyll and Bute,null,475.2,30.6,28.9,38,4.9,82.3
E14000941,South Norfolk,182500,507.2,28,27.5,45,4.8,82.3
E14000591,Brent Central,320000,500,13.1,29.8,43,54.2,82.4
E14000731,Harrow East,340000,580.7,19.9,32.7,43,46.9,82.4
E14000555,Bethnal Green and Bow,330000,600.3,29.2,39.6,39,40.7,82.4
E14000905,Rugby,162000,528,12.6,26.7,42,11.8,82.4
E14000769,Kettering,135000,531.3,21.6,23.3,31,8.5,82.4
E14000633,Chichester,270000,503.9,20.8,32.4,39,8.2,82.4
E14001052,Worcester,163000,506.3,27.4,27.7,43,8.2,82.4
E14000640,City of Chester,177000,537,20.9,33.8,36,7.5,82.4
E14000946,South Suffolk,195000,517,13.2,26,39,5,82.4
E14000950,South West Devon,179000,545.3,17.3,28.1,45,4.1,82.4
S14000019,"East Kilbride, Strathaven and Lesmahagow",null,523.9,26.7,22.5,46,3.4,82.4
E14000701,Feltham and Heston,236000,518,15.1,25.8,38,43.7,82.5
E14000750,Holborn and St Pancras,520000,691.4,12.3,45.2,34,40.3,82.5
E14000827,New Forest East,223000,558,17.2,25.8,41,5.6,82.5
E14000802,Macclesfield,175000,562.4,19.5,35,32,5.2,82.5
N06000014,South Antrim,null,483.8,null,24.3,39,4.9,82.5
E14000605,Bromsgrove,205000,575.2,15.1,30.5,35,4,82.5
E14000900,Romford,227500,651.6,28.8,20.6,35,11.3,82.6
E14000764,Islington South and Fins,529000,719.5,14.1,47.4,37,36.3,82.7
E14000867,Nottingham South,125000,453,19.1,25.3,37,22.2,82.7
E14000755,Hove,249950,502.3,18.6,38.4,36,16,82.7
E14000536,Ashford,195000,493.8,19.1,24.3,44,9.5,82.7
W07000057,Arfon,130000,479.2,37.3,27.9,41,6.8,82.7
E14000700,Faversham and Mid Kent,216000,549.6,16.9,25.3,39,6.3,82.7
E14000624,Central Suffolk and Nort,192000,544.4,16.1,26.7,44,5.5,82.7
E14000724,Haltemprice and Howden,161000,617.6,24.8,30.8,42,3.9,82.7
E14000619,Canterbury,222111,576.9,17.9,29.7,37,13.3,82.8
N06000003,Belfast South,null,523.5,null,39,43,12.4,82.8
E14000977,Stratford-on-Avon,249950,535.7,10.6,33.6,32,6.7,82.8
E14000925,Shipley,148250,521.9,23.3,31.7,44,5.9,82.8
E14000654,Croydon Central,225000,569.1,24.2,29.6,43,25.8,82.9
E14000956,"Southampton, Test",155569,505,33,26.9,30,21,82.9
E14000968,Stevenage,177000,539.6,22.2,23.9,39,11.3,82.9
W07000051,Cardiff North,191500,557.4,39.6,37.4,48,8.6,82.9
E14000912,Salisbury,220000,521.9,26,32.2,50,8.3,82.9
E14000980,Stroud,190000,514.8,13.2,32.1,29,5.4,82.9
S14000045,Midlothian,null,475.5,25.9,21.1,32,4,82.9
E14000894,Ribble Valley,157500,496.9,14.9,30,34,3.6,82.9
E14001032,West Ham,230000,500.6,24.5,30.5,32,52,83
E14001013,Walthamstow,250000,526.7,25.5,31.3,34,43,83
E14000655,Croydon North,222000,534.2,22.9,30.5,37,40.8,83
E14000801,Luton South,153250,496.7,12.5,22.8,43,33.1,83
S14000031,Glasgow North,null,539.5,22.4,40.6,31,16.7,83
E14000884,Portsmouth South,147500,497.5,20.8,26.2,30,16.4,83
E14000995,Thurrock,168000,554,14.9,18.1,43,14.7,83
E14000728,Harborough,165000,489.6,15.9,27.7,42,11.1,83
E14000869,Old Bexley and Sidcup,249500,666.7,21.8,22.6,38,9.9,83
S14000015,Dundee East,null,463.9,22.1,26.4,44,5.8,83
E14001045,Witham,210000,555.8,11.5,23.8,45,5.3,83
E14000806,Maldon,225000,585.4,16.6,24.2,33,4.3,83
E14000888,Rayleigh and Wickford,220500,606.2,20.1,19.9,40,3.9,83
E14000592,Brent North,288000,558.9,29,32.9,42,59.3,83.1
E14000679,East Ham,230000,537.4,26,29.8,44,55.5,83.1
E14000760,Ilford South,250000,598.8,29.5,32.5,35,46.6,83.1
E14000675,Ealing North,285000,543.4,16.8,30.4,39,46.5,83.1
E14000788,Lewisham West and Penge,259000,668.8,20.9,37.4,38,27.7,83.1
E14000947,South Swindon,155000,524.2,19.6,24.7,43,16.7,83.1
E14000698,Exeter,182000,434,26.6,27.9,34,11.5,83.1
E14000693,Epping Forest,300000,670.8,16.2,26.3,38,10.4,83.1
E14000987,Tatton,240000,601.5,5.6,37.4,43,6.2,83.1
E14000737,Hayes and Harlington,240750,511.1,8,23,35,40.3,83.2
E14000692,"Enfield, Southgate",335000,586.2,14,38.2,40,34.3,83.2
E14001034,West Suffolk,165000,427.5,13.7,20.2,45,15.8,83.2
E14000606,Broxbourne,240000,603.4,9.9,19.9,28,11.7,83.2
E14000990,Tewkesbury,193000,545.2,11.6,29.7,42,6.7,83.2
E14000839,North Dorset,227950,482.1,16.8,27.5,35,6.2,83.2
S14000044,Livingston,null,503.2,21,19.9,35,6.2,83.2
E14000928,Skipton and Ripon,184100,468.1,12.3,31.5,45,5.7,83.2
E14000815,Mid Dorset and North Poo,240000,497.8,18.2,27.1,32,5.1,83.2
E14000846,North East Somerset,207000,495.5,15.6,28.6,39,4.7,83.2
E14000917,Selby and Ainsty,170000,529.3,11.2,27.8,41,4.6,83.2
E14000823,Mitcham and Morden,250000,532.5,17.3,28.2,39,40.3,83.3
E14000696,Erith and Thamesmead,182000,523.1,22.6,24.9,40,30.6,83.3
E14000739,Hemel Hempstead,230000,552.9,15.5,26.1,32,11.5,83.3
E14000804,Maidstone and The Weald,205000,511.2,28.2,27.2,38,11,83.3
E14000659,Dartford,205000,573.9,14.8,22.3,37,10.9,83.3
E14000627,Cheadle,200000,564.6,20.9,36.7,44,8.5,83.3
E14000590,Braintree,192500,573.9,16.9,22,41,6,83.3
E14000774,Kingswood,178000,524.8,13.7,22.2,42,4.5,83.3
E14000604,Bromley and Chislehurst,282000,746.5,15.1,33.1,30,15.2,83.4
E14000625,Charnwood,167250,497.1,22.2,26.3,40,7.7,83.4
E14000985,Sutton Coldfield,215000,637.7,20,34.9,40,7.4,83.4
E14000613,Bury St Edmunds,181750,496.4,19.4,26.4,41,7.3,83.4
E14000635,Chippenham,196995,534.6,18.9,29.9,42,6.9,83.4
S14000007,Banff and Buchan,null,488.9,21.5,18.6,48,6.4,83.4
S14000004,Angus,null,448.5,27.5,21,32,4.7,83.4
E14000615,Camberwell and Peckham,305000,571.8,31,37.6,44,40.8,83.5
E14000652,Crawley,205000,550.4,10.9,21.5,44,20.3,83.5
E14000797,Loughborough,156000,538.4,11.8,27.6,34,12.1,83.5
S14000008,"Berwickshire, Roxburgh and Selkirk",null,470.4,30.4,25,40,5.1,83.5
E14000886,Pudsey,167000,545.9,15.1,32.4,45,5.4,83.6
S14000017,Dunfermline and West Fife,null,552.5,24.1,24.7,37,4.4,83.6
E14000720,Hackney North and Stoke,365000,647.1,12.5,42.1,48,38,83.7
E14000621,Carshalton and Wallingto,245850,575,26.4,27.2,28,17.7,83.7
E14000991,The Cotswolds,270000,506.9,10.4,34.4,39,6.8,83.7
E14000895,Richmond (Yorks),189950,479.1,29.2,29.7,44,6.2,83.7
E14000660,Daventry,192500,551.6,11.5,28.6,44,5.6,83.7
E14000790,Leyton and Wanstead,265000,550,25.9,36.3,39,43.1,83.8
E14000930,Slough,210000,530.9,17.6,25.9,42,39.3,83.8
E14000851,North Swindon,157500,489,14.2,20.8,37,9.3,83.8
E14000949,South West Bedfordshire,180000,506.7,12.2,24.4,42,9,83.8
E14000534,Arundel and South Downs,299998,587.6,9.2,33,39,6.7,83.8
E14000850,North Somerset,225000,585.7,14.4,34,35,5.1,83.8
E14000636,Chipping Barnet,369950,674.9,26.3,39.3,32,29.2,83.9
E14000809,"Manchester, Withington",190000,574.3,31.8,45.1,39,17.8,83.9
E14000959,Spelthorne,265000,655.5,13.7,25.9,39,14.1,83.9
E14000644,Colchester,171000,509.9,25.2,26.9,37,13.3,83.9
E14001061,York Central,167000,461.1,26.5,32.7,41,11.8,83.9
E14000855,North West Cambridgeshir,162000,524.2,11.1,25.5,29,10.6,83.9
E14000872,Orpington,290000,630,18.5,28.4,35,10,83.9
E14001023,Wealden,250000,609.5,12.8,30.2,34,7.4,83.9
E14001062,York Outer,200000,499.6,9.7,32.1,45,6.4,83.9
S14000020,East Lothian,null,538.8,25.6,27,40,5.3,83.9
S14000001,Aberdeen North,null,538.3,37,29,41,18.9,84
E14000594,Brentwood and Ongar,280000,655.3,12.9,28.7,42,7.6,84
E14000940,South Leicestershire,160000,539.9,11.8,25.7,43,5.5,84
S14000050,Ochil and South Perthshire,null,462.5,17.9,27.7,40,4.9,84
E14000730,Harrogate and Knaresboro,210000,488.4,18.9,34.7,47,9.6,84.1
E14000699,Fareham,210000,554.1,17.9,29.5,47,5.7,84.1
E14000994,Thornbury and Yate,212000,497.2,14.4,28.1,43,4.7,84.1
E14000882,Poplar and Limehouse,321500,711.8,10.1,42.5,27,45.4,84.2
E14000718,Greenwich and Woolwich,325000,586.7,25.1,40,41,35.8,84.2
E14000890,Reading West,200000,602.8,16.2,27.7,44,17.9,84.2
E14001019,Warwick and Leamington,209000,562.4,19.5,36.9,43,12.7,84.2
E14000845,North East Hertfordshire,240000,626.4,10.1,31.2,39,8.2,84.2
E14001018,Warrington South,169998,575.5,20.4,31.7,47,6.1,84.2
E14000741,Hendon,297000,536.6,24.2,35.2,44,44.1,84.3
E14000789,"Lewisham, Deptford",265000,591.8,23.7,41.6,45,39,84.3
E14000685,Eastleigh,205000,535.5,14.1,26,40,7,84.3
E14000909,Rutland and Melton,186000,502.2,13.5,29.9,46,5.8,84.3
S14000055,"Ross, Skye and Lochaber",null,521.8,26.8,28.5,45,5.2,84.3
E14000732,Harrow West,300000,590.9,14.6,38.5,40,46.7,84.4
E14000906,"Ruislip, Northwood and P",385000,672.5,18.1,39.3,44,24.6,84.4
S14000022,Edinburgh East,null,527,31.4,35.2,43,19.1,84.4
E14000745,Hertsmere,310000,515.8,10.8,30.8,41,17,84.4
E14000630,Cheltenham,205000,531.2,23.6,36.7,40,11.5,84.4
E14000811,Meon Valley,234500,622.5,9.7,31.8,47,5.7,84.4
E14000757,Huntingdon,190000,552.8,24.3,28.5,34,11.1,84.5
E14000767,Kenilworth and Southam,247500,577.7,11.5,38,30,6.9,84.5
E14000656,Croydon South,285000,663.2,9.8,35.3,44,19.8,84.6
W07000050,Cardiff Central,165625,482,19.5,33.5,36,18.9,84.6
E14000547,Bath,250000,527.8,20.4,38,38,13.8,84.6
E14000857,North West Hampshire,223000,574.3,16,28.3,40,8.1,84.6
E14000726,Hammersmith,455000,670.8,20.1,47.5,42,44.6,84.7
E14000919,Sheffield Central,125000,486.1,26.6,32.6,38,22.5,84.7
E14000822,Milton Keynes South,185000,562,18.2,27,40,17.7,84.7
E14000702,Filton and Bradley Stoke,190000,600.4,22.3,29.6,42,10.3,84.7
E14000918,Sevenoaks,287500,628.2,11.1,32.5,40,8.6,84.7
E14000997,Tonbridge and Malling,274225,593.3,13.3,30.4,35,7.5,84.7
S14000057,Stirling,null,571,21,33.3,40,7.1,84.7
E14000908,Rushcliffe,207500,596.3,22.2,39.9,39,6.9,84.7
E14001007,Uxbridge and South Ruisl,274000,593.7,13.2,27.7,42,24.2,84.8
E14001021,Watford,245000,610.4,34.3,31.6,26,22.1,84.8
E14000984,Sutton and Cheam,255500,586.4,16.4,32.9,31,22,84.8
E14001027,Welwyn Hatfield,245000,589.3,12.2,29.9,42,17.5,84.8
S14000049,North East Fife,null,522.6,14.9,33.9,40,10.3,84.8
S14000054,Perth and North Perthshire,null,503.2,26.1,28.7,44,7.6,84.8
E14000841,North East Bedfordshire,215000,589.3,14,30.1,32,7.3,84.8
E14001008,Vauxhall,407500,574.9,18.6,48.7,39,41,84.9
E14000681,East Surrey,295000,610,11.1,31.4,33,9.4,84.9
E14000860,North Wiltshire,215000,541.5,10.5,32.1,35,6.8,84.9
E14000532,Altrincham and Sale West,236000,672.2,7.3,40.3,33,9.5,85
E14000628,Chelmsford,215250,561.1,30.2,29.6,39,9.1,85
S14000046,Moray,null,434.3,25.8,22.7,43,5.3,85
E14000703,Finchley and Golders Gre,435000,651.6,9.8,46.5,38,42.4,85.1
E14000539,Banbury,210000,537.4,15.9,27.3,42,11.2,85.1
E14000937,South East Cambridgeshir,227000,571.8,9.1,34.3,44,11.2,85.1
E14001004,Tunbridge Wells,250000,647.6,14.1,34.9,42,10.1,85.1
E14000673,Dulwich and West Norwood,344000,705.6,38.7,47.6,41,32.4,85.2
E14000901,Romsey and Southampton N,250000,509.1,14.7,34.1,34,12.9,85.2
E14000780,Leeds North West,179950,531.1,14.2,33.3,39,8.6,85.2
E14000922,"Sheffield, Hallam",219000,624.6,26.3,43.6,46,7.4,85.2
S14000039,"Inverness, Nairn, Badenoch and Strathspey",null,489.9,30.6,28.1,41,7.2,85.2
E14000553,Bermondsey and Old South,370000,641.9,18.9,44.5,41,41.9,85.3
E14000598,"Brighton, Pavilion",250000,564.8,14.1,40.4,39,15.9,85.3
E14000538,Aylesbury,219950,512.8,25.8,30,40,13,85.3
E14000680,East Hampshire,276000,550.9,11.2,34.1,40,8.9,85.3
E14001046,Witney,245000,575,12.2,32.9,41,8.1,85.3
E14000727,Hampstead and Kilburn,585000,711.2,21.4,54,43,45.9,85.4
E14000752,Hornsey and Wood Green,399995,686.5,17.3,52,43,36.7,85.4
E14000821,Milton Keynes North,187000,498.3,8.7,29.5,36,19.5,85.4
E14000910,Saffron Walden,290000,613.1,23.1,31.3,43,7.1,85.4
E14000978,Streatham,335000,659.6,19.7,46.6,39,38.9,85.5
E14000770,Kingston and Surbiton,315000,670.2,14.4,38.6,37,27.2,85.5
E14000674,Ealing Central and Acton,417000,674.2,11.7,48.4,46,46.6,85.6
E14000593,Brentford and Isleworth,350000,604.8,10.5,42.8,45,42.9,85.6
E14000545,Basingstoke,210000,622,14.9,28,40,13,85.6
E14000893,Reigate,285000,724.7,19.9,36.1,41,12.5,85.6
E14000824,Mole Valley,390000,687.9,10.1,38.5,36,10.1,85.6
E14000665,Devizes,225000,480.3,21.2,28.5,38,9,85.6
E14001015,Wantage,247500,590.4,13.7,34.9,46,8.8,85.6
S14000021,East Renfrewshire,null,652.5,26.8,35.2,47,4.8,85.6
E14001056,Wycombe,247750,576.8,11.7,31.4,43,19,85.7
E14000530,Aldershot,213000,540.3,9.2,25,41,16.9,85.7
E14000551,Beckenham,330000,759.5,12.9,35.5,31,13.2,85.7
E14000550,Beaconsfield,370000,659.1,7.1,37,42,13.4,85.8
E14000951,South West Hertfordshire,354000,658.2,10,38.2,42,12.2,85.8
E14001041,Winchester,315000,584.3,26.3,41,40,10.1,85.8
E14000813,Mid Bedfordshire,227000,610.8,13.9,31,43,7.9,85.8
E14000817,Mid Sussex,250000,580.8,17.3,33.5,34,10.2,85.9
S14000018,East Dunbartonshire,null,595.5,20.5,38.3,43,4.8,85.9
S14000025,Edinburgh South West,null,535.4,28.3,38.6,41,15.9,86
E14000694,Epsom and Ewell,350000,636.1,17.2,36.4,43,14.5,86
E14000830,Newbury,249950,568.5,17.4,32.5,32,9.1,86
S14000026,Edinburgh West,null,532.6,29.8,36.2,32,9,86
E14000608,Buckingham,274995,646.2,9.1,35.7,47,7.3,86
S14000051,Orkney and Shetland,null,525,38.1,26.6,37,4.3,86
E14000768,Kensington,980000,848.2,10.3,52.2,40,52.3,86.1
E14000907,Runnymede and Weybridge,312000,585,12.2,33.8,40,18.1,86.1
E14000742,Henley,345000,664.6,11.3,38.7,37,9.1,86.1
E14000753,Horsham,282500,611.6,12.3,32.2,42,8.8,86.1
E14000744,Hertford and Stortford,250000,575,12.6,33.9,37,8.8,86.2
E14000873,Oxford East,250000,546.5,24.4,37.7,49,27.7,86.3
E14000960,St Albans,335000,670.7,16.6,44.5,43,15,86.3
E14000983,Surrey Heath,278000,625,17.4,33.3,44,12.5,86.3
E14000934,South Cambridgeshire,250000,624.5,26.8,41.8,43,11.9,86.3
E14000953,South West Surrey,335000,727.9,10.2,40.7,35,10.8,86.3
E14000639,Cities of London and Wes,795000,786.3,11.1,54.5,40,52,86.4
E14000586,Bracknell,245500,597.1,13.6,30.5,33,12.6,86.4
E14001047,Woking,272750,624.1,11.4,38,43,19.3,86.5
E14000998,Tooting,414000,688.7,44.2,51.4,38,34.7,86.6
E14000617,Cambridge,304995,569.4,12.8,46.8,33,29.6,86.6
E14000631,Chesham and Amersham,375000,690.3,14.2,41,39,11.1,86.6
E14000942,South Northamptonshire,210000,569.1,14.2,31.8,38,7.5,86.6
E14000874,Oxford West and Abingdon,285000,597.6,13.4,43.4,47,18,86.7
E14000803,Maidenhead,320000,665.4,9.9,39.5,44,15.4,86.7
S14000023,Edinburgh North and Leith,null,565.3,23.1,49.5,35,19.3,86.9
E14000749,Hitchin and Harpenden,300750,726.8,9,43.1,41,10.7,86.9
E14000889,Reading East,232500,556.5,15.3,38.4,41,24.4,87
E14000887,Putney,454500,745.6,12.4,51.6,41,37.1,87.1
E14000602,Bristol West,210000,562.6,22.9,47.2,37,22.9,87.1
S14000002,Aberdeen South,null,584.1,9.2,40.3,40,15.7,87.1
E14000697,Esher and Walton,430000,724.8,8.2,42.8,36,17.4,87.2
E14000719,Guildford,320000,619.1,17.9,40.6,40,17,87.2
E14000629,Chelsea and Fulham,778750,670.8,18.7,53.7,39,43.4,87.3
S14000024,Edinburgh South,null,643.7,38.2,46.9,47,15.3,87.3
E14001005,Twickenham,417500,726.7,12.8,49.5,39,21.1,87.4
E14001042,Windsor,339475,660.7,7.9,37.7,47,17.3,87.5
E14001040,Wimbledon,461500,766.6,12.5,54.4,36,35.1,88.1
E14001048,Wokingham,277500,637.6,12.7,40.6,42,12.5,88.1
E14000844,North East Hampshire,315000,672.9,9.8,38.9,42,9,88.2
S14000037,Gordon,null,615.8,9.9,28.2,34,5.5,88.2
E14000549,Battersea,515000,704.7,11.7,57.4,38,34.5,88.3
E14000896,Richmond Park,545000,834.3,17.8,55.2,34,29.9,88.4
S14000058,West Aberdeenshire and Kincardine,null,638.3,11.4,33.3,45,6.2,89
N,Northern Ireland,null,457.2,null,null,null,null,null
W,Wales,null,479.4,28.1,null,null,null,null
S,Scotland,null,518.2,25.5,null,null,null,null
E,England,null,523.6,19.2,null,null,null,null
